"","mass","int","logint"
"227",178.116394042969,1742.56713867188,7.4631146719767
"228",178.123077392578,3017.71240234375,8.01225434066633
"229",179.106948852539,9073.7099609375,9.11313649596361
"230",179.127944946289,3275.45190429688,8.094211124595
"231",179.165420532227,2120.18798828125,7.65926003745235
"232",180.101974487305,4749.8017578125,8.46585816096038
"233",180.159713745117,2435.23974609375,7.79780048902471
"234",181.086013793945,3721.18408203125,8.22179719824128
"235",181.122314453125,7607.88916015625,8.93694103526477
"236",182.081527709961,2698.7373046875,7.90053927767251
"237",182.117568969727,3949.40112304688,8.28131923198203
"238",182.985336303711,24733.44140625,10.1159115100027
"239",183.080596923828,4536.8408203125,8.41998619425952
"240",183.101806640625,17865.654296875,9.79063539429706
"241",183.138000488281,6538.29296875,8.78543139642857
"242",184.096908569336,3733.98583984375,8.22523153187266
"243",184.133392333984,2325.544921875,7.75170966555993
"244",184.169738769531,3143.24536132812,8.05301109971562
"245",184.961059570312,3717.98193359375,8.2209363090963
"246",185.02326965332,3468.58764648438,8.15150277178226
"247",185.080978393555,3597.0703125,8.18787499104419
"248",185.117492675781,15612.44140625,9.65582340142439
"249",185.153717041016,6220.62939453125,8.73562636944537
"250",186.075653076172,2034.25842285156,7.61788662008758
"251",186.112609863281,2859.56884765625,7.95842613988184
"252",186.148941040039,11831.94140625,9.37855805223588
"253",186.18537902832,2874.13354492188,7.96350653212933
"254",186.956390380859,69325.2421875,11.1465643639867
"255",187.096939086914,7051.87841796875,8.86104930258195
"256",187.126495361328,6572.88037109375,8.79070742805136
"257",187.133010864258,19802.310546875,9.89355390416099
"258",188.049407958984,2583.1181640625,7.85675253887972
"259",188.139434814453,3594.89990234375,8.18727142619136
"260",188.164703369141,4851.99462890625,8.48714516307781
"261",189.112228393555,4230.14990234375,8.34999270931874
"262",189.980010986328,4230.0849609375,8.34997735716663
"263",190.0029296875,2427.04370117188,7.79442921181578
"264",190.846633911133,1678.63232421875,7.42573464811693
"265",190.979644775391,3082.47998046875,8.03348974044117
"266",190.993682861328,2812.40942382812,7.94179684113298
"267",191.128143310547,3852.58056640625,8.25649847973517
"268",191.9716796875,10119.7802734375,9.22224723049483
"269",192.139099121094,2270.52685546875,7.72776717846574
"270",192.349105834961,1926.40356445312,7.56341010543106
"271",192.979278564453,2504.99047851562,7.82604021251997
"272",193.028854370117,58842.19921875,10.9826145502703
"273",193.122360229492,4935.61181640625,8.504231919139
"274",193.131271362305,2197.69750976562,7.69516550482219
"275",193.143615722656,39234.87890625,10.5773213981862
"276",193.364196777344,1774.5673828125,7.48131194421006
"277",194.032150268555,3599.40014648438,8.18852248458399
"278",194.081680297852,4192.0625,8.34094813524088
"279",194.117752075195,5577.79736328125,8.62654923968268
"280",194.147048950195,2403.24829101562,7.78457655583182
"281",194.990356445312,3003.6025390625,8.00756769356513
"282",195.087921142578,7329.48291015625,8.89966024807531
"283",195.102081298828,2651.283203125,7.88279902937426
"284",195.12287902832,26808.5859375,10.1964774859934
"285",195.138214111328,5692.83154296875,8.64696303830931
"286",195.1748046875,2225.62377929688,7.70779250555534
"287",195.993835449219,3231.7890625,8.08079115219552
"288",196.133880615234,3031.76928710938,8.01690165122504
"289",196.154296875,9542.080078125,9.16346677821491
"290",196.170104980469,2507.06005859375,7.82686605423104
"291",197.117599487305,6260.5263671875,8.74201954477452
"292",197.15380859375,44984.67578125,10.7140771725617
"293",198.14875793457,2133.41918945312,7.66548122492599
"294",198.157272338867,4717.87841796875,8.45911448981123
